,BJD - 2454833, Corrected Flux
0,2061.30543729,0.722783318
1,2061.32586945,0.716395131
2,2061.34630152,0.707573961
3,2061.36673348,0.701525446
4,2061.38716565,0.694174914
5,2061.40759772,0.687091869
6,2061.42802988,0.681108808
7,2061.48932607,0.807559505
8,2061.50975803,0.810027039
9,2061.5301901,0.809693152
10,2061.55062226,0.812889824
11,2061.57105432,0.819324558
12,2061.59148628,0.830865742
13,2061.61191844,0.846631596
14,2061.6323505,0.867130191
15,2061.65278246,0.890163477
16,2061.67321462,0.908989196
17,2061.71407874,0.932309207
18,2061.7345108,0.941872265
19,2061.75494286,0.951788342
20,2061.77537492,0.960927387
21,2061.79580697,0.968024706
22,2061.81623903,0.973369128
23,2061.83667109,0.975501117
24,2061.85710314,0.97661755
25,2061.8775351,0.979386476
26,2061.89796725,0.980731603
27,2061.91839931,0.982586835
28,2061.95926342,0.984662509
29,2061.97969547,0.987454431
30,2062.00012762,0.990991788
31,2062.02055958,0.988673595
32,2062.04099163,0.987084584
33,2062.06142378,0.985976907
34,2062.08185573,0.986851888
35,2062.10228778,0.988135305
36,2062.12271993,0.992512335
37,2062.14315198,0.991474596
38,2062.16358393,0.991050328
39,2062.22488008,1.023749209
40,2062.24531223,1.023205053
41,2062.26574428,1.023383574
42,2062.28617622,1.024119482
43,2062.30660837,1.023858811
44,2062.32704042,1.021580423
45,2062.34747256,1.016928662
46,2062.36790451,1.016519134
47,2062.38833656,1.01751992
48,2062.4087687,1.01662649
49,2062.42920065,1.01572677
50,2062.44963269,1.017678733
51,2062.47006474,1.020330042
52,2062.49049678,1.015123289
53,2062.51092882,1.015357238
54,2062.53136086,1.016214158
55,2062.55179291,1.019967301
56,2062.57222495,1.019563802
57,2062.59265699,1.027088137
58,2062.61308903,1.036383233
59,2062.63352107,1.041614121
60,2062.65395321,1.053803847
61,2062.67438515,1.056869168
62,2062.69481729,1.057500211
63,2062.71524933,1.058648323
64,2062.73568127,1.054697907
65,2062.75611341,1.04808623
66,2062.77654545,1.039837786
67,2062.79697738,1.031205679
68,2062.81740952,1.026066323
69,2062.83784156,1.021633755
70,2062.85827349,1.018425329
71,2062.87870563,1.015437538
72,2062.89913766,1.018090548
73,2062.9195696,1.020017297
74,2062.94000173,1.020279401
75,2062.96043377,1.023089583
76,2062.9808658,1.020147201
77,2063.00129783,1.018378866
78,2063.02172987,1.017499467
79,2063.0421619,1.018771611
80,2063.06259393,1.020425719
81,2063.08302596,1.02347071
82,2063.10345809,1.028084151
83,2063.12389013,1.032048597
84,2063.14432206,1.03623504
85,2063.16475419,1.040444239
86,2063.18518622,1.042982034
87,2063.20561815,1.045418684
88,2063.22605028,1.047096901
89,2063.2464822,1.048863623
90,2063.26691423,1.053695229
91,2063.28734636,1.058020741
92,2063.32821031,1.069020901
93,2063.34864244,1.07438061
94,2063.36907437,1.076336169
95,2063.38950639,1.077560982
96,2063.40993852,1.080311141
97,2063.43037044,1.081345833
98,2063.45080247,1.082092155
99,2063.47123459,1.083328851
100,2063.49166662,1.086994288
101,2063.51209864,1.088316248
102,2063.53253066,1.094191415
103,2063.55296269,1.095278109
104,2063.57339471,1.09549975
