,EPIC911
2060.2842277,103380.258934
2060.30466001,103219.237484
2060.32509223,102974.981776
2060.34552434,102676.673599
2060.36595666,102668.333571
2060.38638887,102924.739557
2060.40682109,103387.462799
2060.4272533,104146.202048
2060.44768551,104371.955157
2060.46811773,104129.621875
2060.48854994,103984.805556
2060.50898215,103768.193845
2060.52941436,103588.959666
2060.54984657,103529.927817
2060.57027878,103286.156088
2060.59071109,103177.387257
2060.6111432,102689.859356
2060.63157541,102395.149025
2060.65200772,102242.244297
2060.67243983,102114.554717
2060.69287214,102097.950816
2060.71330434,102074.233772
2060.73373645,101963.117166
2060.75416876,102103.819081
2060.77460096,102270.592215
2060.79503307,102457.23445
2060.81546537,102413.991758
2060.83589758,102634.805275
2060.85632968,102768.673596
2060.87676198,102757.50207
2060.89719419,102724.24119
2060.91762649,102530.925997
2060.93805859,102417.424602
2060.95849079,102158.786936
2060.97892309,101965.586072
2060.9993552,101670.315229
2061.0197874,101159.319458
2061.04021969,100830.796509
2061.06065189,100503.942087
2061.08108399,100145.852294
2061.10151629,99872.5105104
2061.12194839,99721.3397127
2061.14238069,99564.3718476
2061.16281288,99524.7374282
2061.18324498,99347.4037409
2061.20367728,99243.0163094
2061.22410947,98790.0892408
2061.24454157,98564.1933271
2061.26497386,98143.8216763
2061.28540606,103129.944049
2061.30583815,108702.759694
2061.32627044,107878.140147
2061.34670264,107184.086441
2061.36713473,106384.944075
2061.38756702,105807.784255
2061.40799921,105491.560514
2061.4284315,105333.877477
2061.44886359,105660.629723
2061.46929578,106053.760023
2061.48972807,106214.470906
2061.51016016,106682.750717
2061.53059235,107121.186936
2061.55102464,107358.723962
2061.57145683,107546.692627
2061.59188891,107693.919393
2061.6123212,107738.454014
2061.63275339,107817.458471
2061.65318547,107941.735003
2061.67361776,108286.322484
2061.69404994,108830.619006
2061.71448213,109328.844734
2061.73491431,109820.945728
2061.7553465,110511.224463
2061.77577868,111231.336907
2061.79621086,111842.316608
2061.81664305,112436.176617
2061.83707523,113013.225717
2061.85750741,113206.213628
2061.87793949,113439.219285
2061.89837177,113599.709148
2061.91880395,113861.607265
2061.93923613,114223.926587
