# FRAMEID, DATA-TYP, OBJECT, EXP1TIME, COADD, D_MODE, I_SCALE,                 I_DTHNUM, I_DTHPOS
IRCA00447362,FIELDCHECK,EPIC203824153,0.5,1,NGS,20mas,0,<astropy.io.fits.card.Undefined object at 0x7efda2546f90>
IRCA00447363,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,1 : WP0
IRCA00447364,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,1 : WP0
IRCA00447365,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,1 : WP0
IRCA00447366,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,1 : WP45
IRCA00447367,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,1 : WP45
IRCA00447368,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,1 : WP45
IRCA00447369,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,1 : WP22.5
IRCA00447370,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,1 : WP22.5
IRCA00447371,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,1 : WP22.5
IRCA00447372,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,1 : WP67.5
IRCA00447373,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,1 : WP67.5
IRCA00447374,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,1 : WP67.5
IRCA00447375,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,2 : WP0
IRCA00447376,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,2 : WP0
IRCA00447377,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,2 : WP0
IRCA00447378,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,2 : WP45
IRCA00447379,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,2 : WP45
IRCA00447380,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,2 : WP45
IRCA00447381,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,2 : WP22.5
IRCA00447382,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,2 : WP22.5
IRCA00447383,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,2 : WP22.5
IRCA00447384,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,2 : WP67.5
IRCA00447385,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,2 : WP67.5
IRCA00447386,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,2 : WP67.5
IRCA00447387,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,3 : WP0
IRCA00447388,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,3 : WP0
IRCA00447389,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,3 : WP0
IRCA00447390,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,3 : WP45
IRCA00447391,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,3 : WP45
IRCA00447392,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,3 : WP45
IRCA00447393,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,3 : WP22.5
IRCA00447394,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,3 : WP22.5
IRCA00447395,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,3 : WP22.5
IRCA00447396,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,3 : WP67.5
IRCA00447397,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,3 : WP67.5
IRCA00447398,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,3 : WP67.5
IRCA00447399,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,4 : WP0
IRCA00447400,OBJECT,EPIC203824153,0.5,24,NGS,20mas,5,4 : WP0
